reaction_id,section,reaction_type,reactants,products,catalysts,conditions,rate_law,k_uncatalyzed,k_catalyzed,catalysis_probability,autocatalytic_role,source_hint
"R001","feedstock_activation","photochemical","CH4 ; hnu","CH3 ; H","UV","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","radical carbon source","atmospheric_photolysis"
"R002","feedstock_activation","photochemical","NH3 ; hnu","NH2 ; H","UV","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","reduced nitrogen radicals","atmospheric_photolysis"
"R003","feedstock_activation","photochemical","H2O ; hnu","OH ; H","UV","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","radical/redox source","atmospheric_photolysis"
"R004","feedstock_activation","photochemical","CO2 ; hnu","CO ; O","UV","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","CO source","atmospheric_photolysis"
"R005","feedstock_activation","thermal/redox","CO2 ; H2","CO ; H2O","FeS ; NiS","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","CO source for carbonyl chemistry","water_gas_shift_like"
"R006","feedstock_activation","thermal/redox","CO2 ; H2","HCOO- ; H+","FeS ; NiS","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","formate feedstock","hydrothermal_reduction"
"R007","feedstock_activation","thermal/redox","CO ; H2O","HCOO- ; H+","FeS ; NiS","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","formate feedstock","hydrothermal_carbonylation"
"R008","feedstock_activation","thermal/redox","CO ; H2 ; HS-","HCS- ; H2O","FeS ; NiS","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","thioformate precursor","hydrothermal_thiocarbonyl"
"R009","feedstock_activation","condensation","CO ; NH3","HCONH2","FeS ; NiS","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","formamide pool","hydrothermal_carbonylation"
"R010","feedstock_activation","condensation","HCN ; H2O","HCONH2","mineral_surface","K01_or_K02","mass_action","1.0e-8","1.0e-4","0.01","formamide pool","HCN_hydrolysis"
"R011","HCN_core","oligomerization","HCN ; HCN","iminoacetonitrile","base ; mineral","K04","mass_action","1.0e-8","1.0e-4","0.01","aminonitrile seed","HCN_chemistry"
"R012","HCN_core","addition","iminoacetonitrile ; HCN","aminomalononitrile","base ; mineral","K04","mass_action","1.0e-8","1.0e-4","0.01","HCN oligomer growth","HCN_chemistry"
"R013","HCN_core","addition","aminomalononitrile ; HCN","diaminomaleonitrile","base ; mineral","K04","mass_action","1.0e-8","1.0e-4","0.01","DAMN pool","HCN_chemistry"
"R014","HCN_core","photoisomerization","diaminomaleonitrile ; hnu","diaminofumaronitrile","UV","K04","mass_action","1.0e-8","1.0e-4","0.01","activated HCN tetramer","HCN_chemistry"
"R015","HCN_core","hydrolysis","aminomalononitrile ; 2 H2O","aminoacetamide ; NH3 ; CO","acid ; base","K04","mass_action","1.0e-8","1.0e-4","0.01","amino-acid precursor","HCN_hydrolysis"
"R016","HCN_core","hydrolysis","aminoacetamide ; H2O","glycine ; NH3","acid ; base","K04","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","Strecker_related"
"R017","HCN_core","hydrolysis","diaminomaleonitrile ; 4 H2O","aspartate_precursor ; 2 NH3","acid ; base","K04","mass_action","1.0e-8","1.0e-4","0.01","amino acid precursor","HCN_hydrolysis"
"R018","HCN_core","cyclization","diaminomaleonitrile ; HCN","aminoimidazole_carbonitrile","UV ; mineral","K04","mass_action","1.0e-8","1.0e-4","0.01","nucleobase precursor","HCN_oligomerization"
"R019","HCN_core","cyclization","aminoimidazole_carbonitrile ; HCN","adenine","UV ; heat","K04","mass_action","1.0e-8","1.0e-4","0.01","nucleobase product","Oró_like"
"R020","HCN_core","degradation","HCN ; H2O","formamide","acid ; base","K04","mass_action","1.0e-8","1.0e-4","0.01","formamide replenishment","HCN_hydrolysis"
"R021","formaldehyde_formose","formation","CO ; H2","H2CO","FeS ; NiS","K05","mass_action","1.0e-8","1.0e-4","0.01","aldehyde source","hydrothermal_reduction"
"R022","formaldehyde_formose","formation","CH3 ; O","H2CO ; H","radical_pool","K05","mass_action","1.0e-8","1.0e-4","0.01","aldehyde source","atmospheric_chemistry"
"R023","formaldehyde_formose","dimerization","H2CO ; H2CO","glycolaldehyde","base ; mineral","K05","mass_action","1.0e-8","1.0e-4","0.01","formose autocatalyst seed","formose"
"R024","formaldehyde_formose","aldol","glycolaldehyde ; H2CO","glyceraldehyde","base ; clay","K05","mass_action","1.0e-8","1.0e-4","0.01","sugar growth","formose"
"R025","formaldehyde_formose","isomerization","glyceraldehyde","dihydroxyacetone","base ; mineral","K05","mass_action","1.0e-8","1.0e-4","0.01","sugar pool","formose"
"R026","formaldehyde_formose","retroaldol","tetrose","glycolaldehyde ; glycolaldehyde","base ; mineral","K05","mass_action","1.0e-8","1.0e-4","0.01","regenerates catalyst","formose_autocatalysis"
"R027","formaldehyde_formose","aldol","glycolaldehyde ; glycolaldehyde","tetrose","base ; mineral","K05","mass_action","1.0e-8","1.0e-4","0.01","formose growth","formose"
"R028","formaldehyde_formose","autocatalytic_loop","H2CO ; glycolaldehyde","2 glycolaldehyde","base ; mineral","K05","mass_action","1.0e-8","1.0e-4","0.01","explicit autocatalytic closure","formose_lumped"
"R029","formaldehyde_formose","oxidation","glycolaldehyde ; H2O","glycolate ; 2 H","FeS ; NiS","K05","mass_action","1.0e-8","1.0e-4","0.01","carboxylate feedstock","redox"
"R030","formaldehyde_formose","oxidation","glyceraldehyde ; H2O","glycerate ; 2 H","FeS ; NiS","K05","mass_action","1.0e-8","1.0e-4","0.01","carboxylate feedstock","redox"
"R031","strecker_amino_acids","Strecker","H2CO ; HCN ; NH3","glycinonitrile ; H2O","acid ; base","K06","mass_action","1.0e-8","1.0e-4","0.01","glycine precursor","Strecker"
"R032","strecker_amino_acids","hydrolysis","glycinonitrile ; 2 H2O","glycine ; NH3","acid ; base","K06","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","Strecker"
"R033","strecker_amino_acids","Strecker","CH3CHO ; HCN ; NH3","alaninonitrile ; H2O","acid ; base","K06","mass_action","1.0e-8","1.0e-4","0.01","alanine precursor","Strecker"
"R034","strecker_amino_acids","hydrolysis","alaninonitrile ; 2 H2O","alanine ; NH3","acid ; base","K06","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","Strecker"
"R035","strecker_amino_acids","Strecker","glyoxylate ; HCN ; NH3","aspartate_nitrile","acid ; base","K06","mass_action","1.0e-8","1.0e-4","0.01","acidic amino acid precursor","Strecker_variant"
"R036","strecker_amino_acids","hydrolysis","aspartate_nitrile ; 2 H2O","aspartate ; NH3","acid ; base","K06","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","Strecker_variant"
"R037","strecker_amino_acids","transamination","pyruvate ; NH3 ; H2","alanine ; H2O","FeS ; NiS","K06","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","reductive_amination"
"R038","strecker_amino_acids","transamination","glyoxylate ; NH3 ; H2","glycine ; H2O","FeS ; NiS","K06","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","reductive_amination"
"R039","strecker_amino_acids","transamination","oxaloacetate ; NH3 ; H2","aspartate ; H2O","FeS ; NiS","K06","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","reductive_amination"
"R040","strecker_amino_acids","transamination","alpha_ketoglutarate ; NH3 ; H2","glutamate ; H2O","FeS ; NiS","K06","mass_action","1.0e-8","1.0e-4","0.01","amino acid product","reductive_amination"
"R041","carboxylate_core","reduction","CO2 ; H2","formate","FeS ; NiS","K02","mass_action","1.0e-8","1.0e-4","0.01","C1 entry","Wood_Ljungdahl_like"
"R042","carboxylate_core","carbonylation","formate ; CO","glyoxylate","FeS ; NiS","K02","mass_action","1.0e-8","1.0e-4","0.01","C2 acid entry","reductive_carbonylation"
"R043","carboxylate_core","reduction","glyoxylate ; H2","glycolate","FeS ; NiS","K02","mass_action","1.0e-8","1.0e-4","0.01","reduced C2 pool","redox"
"R044","carboxylate_core","condensation","glyoxylate ; formate","malonate","mineral ; base","K02","mass_action","1.0e-8","1.0e-4","0.01","C3 acid pool","carboxylate_growth"
"R045","carboxylate_core","condensation","glyoxylate ; acetate","malate","mineral ; base","K02","mass_action","1.0e-8","1.0e-4","0.01","C4 acid pool","rTCA_like"
"R046","carboxylate_core","dehydration","malate","fumarate ; H2O","mineral ; heat","K02","mass_action","1.0e-8","1.0e-4","0.01","rTCA-like intermediate","rTCA_like"
"R047","carboxylate_core","reduction","fumarate ; H2","succinate","FeS ; NiS","K02","mass_action","1.0e-8","1.0e-4","0.01","rTCA-like intermediate","rTCA_like"
"R048","carboxylate_core","carbonylation","succinate ; CO","alpha_ketoglutarate","FeS ; NiS","K02","mass_action","1.0e-8","1.0e-4","0.01","amino-acid precursor","rTCA_like"
"R049","carboxylate_core","carboxylation","pyruvate ; CO2 ; H2","malate","FeS ; NiS","K02","mass_action","1.0e-8","1.0e-4","0.01","C3-to-C4 fixation","rTCA_like"
"R050","carboxylate_core","reduction","CO2 ; CH3-SH ; CO","thioacetate ; H2O","FeS ; NiS","K02","mass_action","1.0e-8","1.0e-4","0.01","acetyl thioester precursor","acetyl_CoA_analogue"
"R051","thioester_energy","thiolation","acetate ; HS- ; acetyl_phosphate","thioacetate ; H2O ; acetate ; phosphate","FeS ; NiS ; phosphate","K07","mass_action","1.0e-8","1.0e-4","0.01","activated acetyl pool","thioester_world"
"R052","thioester_energy","carbonylation","CH3-SH ; CO","thioacetate","NiS ; FeS","K07","mass_action","1.0e-8","1.0e-4","0.01","acetyl thioester product","acetyl_CoA_analogue"
"R053","thioester_energy","phosphorylation","thioacetate ; phosphate","acetyl_phosphate ; HS-","mineral ; phosphate","K07","mass_action","1.0e-8","1.0e-4","0.01","energy currency","thioester_phosphate"
"R054","thioester_energy","hydrolysis","acetyl_phosphate ; H2O","acetate ; phosphate","Mg2+ ; mineral","K07","mass_action","1.0e-8","1.0e-4","0.01","drives coupling","acetyl_phosphate"
"R055","thioester_energy","acetyl_transfer","thioacetate ; glycine","N-acetylglycine ; HS-","thiol ; mineral","K07","mass_action","1.0e-8","1.0e-4","0.01","acyl transfer chemistry","thioester_world"
"R056","thioester_energy","acetyl_transfer","thioacetate ; alanine","N-acetylalanine ; HS-","thiol ; mineral","K07","mass_action","1.0e-8","1.0e-4","0.01","acyl transfer chemistry","thioester_world"
"R057","thioester_energy","ligation_drive","acetyl_phosphate ; glycine ; alanine","glycylalanine ; acetate ; phosphate","mineral","K07","mass_action","1.0e-8","1.0e-4","0.01","peptide formation","activation"
"R058","thioester_energy","ligation_drive","thioacetate ; glycine ; glycine","glycylglycine ; acetate ; HS-","mineral","K07","mass_action","1.0e-8","1.0e-4","0.01","peptide formation","thioester_world"
"R059","thioester_energy","regeneration","acetate ; H2S ; CO","thioacetate ; H2O","FeS ; NiS","K07","mass_action","1.0e-8","1.0e-4","0.01","regenerates activated acetyl","acetyl_loop"
"R060","thioester_energy","autocatalytic_loop","thioacetate ; phosphate ; acetate","acetyl_phosphate ; thioacetate","mineral","K07","mass_action","1.0e-8","1.0e-4","0.01","energy-loop placeholder","autocatalytic_energy"
"R061","peptide_catalysis","condensation","glycine ; glycine","glycylglycine ; H2O","drying ; clay","K08","mass_action","1.0e-8","1.0e-4","0.01","catalyst precursor","peptide_prebiotic"
"R062","peptide_catalysis","condensation","glycine ; alanine","glycylalanine ; H2O","drying ; clay","K08","mass_action","1.0e-8","1.0e-4","0.01","catalyst precursor","peptide_prebiotic"
"R063","peptide_catalysis","condensation","alanine ; glycine","alanylglycine ; H2O","drying ; clay","K08","mass_action","1.0e-8","1.0e-4","0.01","catalyst precursor","peptide_prebiotic"
"R064","peptide_catalysis","condensation","glycylglycine ; glycine","triglycine ; H2O","drying ; clay ; thioester","K08","mass_action","1.0e-8","1.0e-4","0.01","short peptide growth","peptide_prebiotic"
"R065","peptide_catalysis","condensation","glycylalanine ; glycine","glycylalanylglycine ; H2O","drying ; clay ; thioester","K08","mass_action","1.0e-8","1.0e-4","0.01","short peptide growth","peptide_prebiotic"
"R066","peptide_catalysis","catalysis","H2CO ; HCN ; NH3 ; glycylglycine","glycinonitrile ; H2O ; glycylglycine","glycylglycine","K08","mass_action","1.0e-8","1.0e-4","0.01","autocatalytic amino-acid production","catalytic_closure"
"R067","peptide_catalysis","catalysis","acetate ; HS- ; acetyl_phosphate ; glycylalanine","thioacetate ; H2O ; acetate ; phosphate ; glycylalanine","glycylalanine","K08","mass_action","1.0e-8","1.0e-4","0.01","autocatalytic energy activation","catalytic_closure"
"R068","peptide_catalysis","catalysis","acetyl_phosphate ; glycine ; alanine ; triglycine","glycylalanine ; acetate ; phosphate ; triglycine","triglycine","K08","mass_action","1.0e-8","1.0e-4","0.01","peptide autocatalysis","catalytic_closure"
"R069","peptide_catalysis","degradation","glycylglycine ; H2O","glycine ; glycine","acid ; base","K08","mass_action","1.0e-8","1.0e-4","0.01","loss/recycling","hydrolysis"
"R070","peptide_catalysis","degradation","glycylalanine ; H2O","glycine ; alanine","acid ; base","K08","mass_action","1.0e-8","1.0e-4","0.01","loss/recycling","hydrolysis"
"R071","mineral_redox_catalysis","precipitation","Fe2+ ; HS-","FeS ; H+","ocean_geochemistry","K09","mass_action","1.0e-8","1.0e-4","0.01","catalyst formation","mineral_surface"
"R072","mineral_redox_catalysis","precipitation","Ni2+ ; HS-","NiS ; H+","ocean_geochemistry","K09","mass_action","1.0e-8","1.0e-4","0.01","catalyst formation","mineral_surface"
"R073","mineral_redox_catalysis","surface_activation","FeS ; CO ; HS-","FeS-CO-SH_complex","FeS","K09","mass_action","1.0e-8","1.0e-4","0.01","carbonyl activation","mineral_surface"
"R074","mineral_redox_catalysis","surface_activation","NiS ; CO ; CH3-SH","NiS-acetyl_complex","NiS","K09","mass_action","1.0e-8","1.0e-4","0.01","acetyl activation","mineral_surface"
"R075","mineral_redox_catalysis","product_release","NiS-acetyl_complex ; HS-","thioacetate ; NiS","NiS","K09","mass_action","1.0e-8","1.0e-4","0.01","catalytic turnover","acetyl_loop"
"R076","mineral_redox_catalysis","product_release","FeS-CO-SH_complex ; H2O","formate ; FeS ; HS-","FeS","K09","mass_action","1.0e-8","1.0e-4","0.01","catalytic turnover","C1_fixation"
"R077","mineral_redox_catalysis","redox","FeS ; H2O","FeOOH ; H2S ; e-","mineral ; redox","K09","mass_action","1.0e-8","1.0e-4","0.01","redox disequilibrium","geochemical_coupling"
"R078","mineral_redox_catalysis","redox","FeOOH ; H2S","FeS ; H2O","mineral ; redox","K09","mass_action","1.0e-8","1.0e-4","0.01","regenerates FeS","geochemical_coupling"
"R079","autocatalytic_closure","catalyzed_Strecker","H2CO ; HCN ; NH3 ; glycylglycine","glycinonitrile ; H2O ; glycylglycine","glycylglycine","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-catalyzed glycine precursor production","explicit_closure"
"R080","autocatalytic_closure","catalyzed_hydrolysis","glycinonitrile ; 2 H2O ; glycylglycine","glycine ; NH3 ; glycylglycine","glycylglycine","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-catalyzed amino acid production","explicit_closure"
"R081","autocatalytic_closure","catalyzed_activation","acetate ; HS- ; acetyl_phosphate ; glycylalanine","thioacetate ; phosphate ; glycylalanine","glycylalanine","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-catalyzed thioester regeneration","explicit_closure"
"R082","autocatalytic_closure","catalyzed_ligation","glycine ; glycine ; thioacetate ; glycylglycine","glycylglycine ; acetate ; H2S ; glycylglycine","glycylglycine","K10","mass_action","1.0e-8","1.0e-4","0.01","product-catalyzed production of same peptide","explicit_autocatalysis"
"R083","autocatalytic_closure","catalyzed_ligation","glycine ; alanine ; thioacetate ; glycylalanine","glycylalanine ; acetate ; H2S ; glycylalanine","glycylalanine","K10","mass_action","1.0e-8","1.0e-4","0.01","product-catalyzed production of same peptide","explicit_autocatalysis"
"R084","autocatalytic_closure","surface_complexation","glycylglycine ; FeS","glycylglycine_FeS_complex","FeS","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-mineral catalyst formation","surface_autocatalysis"
"R085","autocatalytic_closure","surface_catalyzed_carbonylation","CO ; CH3-SH ; glycylglycine_FeS_complex","thioacetate ; glycylglycine_FeS_complex","glycylglycine_FeS_complex","K10","mass_action","1.0e-8","1.0e-4","0.01","peptide-mineral complex regenerates activated acetyl species","explicit_RAF_closure"
